Top 5 CITTIES based on weightage scores,State,Mass Markets (W20%),Diverse Workers (W20%),Well-heeled Affluents (20%),Population Growth Rate (10%),Number of Burgalaries reported (10%),Property Crime Rate (10%),Housing Construction (10%),Total Score
Tallahassee,Florida,0.0001,0.0004,0.0002,0.0000,0.0002,0.0002,0.0000,0.0011
Montgomery,Alabama,0.0001,0.0003,0.0004,0.0000,0.0001,0.0002,0.0000,0.0011
Pompano Beach,Florida,0.0005,0.0002,0.0002,0.0000,0.0001,0.0001,0.0000,0.0011
Mission,Texas,0.0002,0.0007,0.0000,0.0000,0.0000,0.0000,0.0001,0.0011
Overland Park,Kansas,0.0002,0.0001,0.0006,0.0001,0.0000,0.0001,0.0000,0.0011
Wilmington,Delaware,0.0002,0.0002,0.0005,0.0000,0.0001,0.0001,0.0000,0.0011
Sarasota,Florida,0.0004,0.0004,0.0002,0.0000,0.0000,0.0000,0.0000,0.0011
Newport Beach,California,0.0000,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,0.0011
Roanoke,Virginia,0.0003,0.0005,0.0001,0.0000,0.0000,0.0001,0.0000,0.0011
Kirkland,Washington,0.0000,0.0000,0.0004,0.0003,0.0000,0.0000,0.0003,0.0011
Reading,Pennsylvania,0.0004,0.0004,0.0001,0.0000,0.0001,0.0000,0.0000,0.0010
Shippingport,Pennsylvania,0.0000,0.0000,0.0000,0.0006,0.0000,0.0000,0.0004,0.0010
Lexington,Kentucky,0.0002,0.0001,0.0004,0.0000,0.0001,0.0002,0.0000,0.0010
Sioux Falls,South Dakota,0.0003,0.0003,0.0002,0.0001,0.0001,0.0001,0.0001,0.0010
Norfolk,Virginia,0.0003,0.0003,0.0001,0.0000,0.0001,0.0002,0.0000,0.0010
Pueblo,Colorado,0.0003,0.0003,0.0001,0.0000,0.0001,0.0001,0.0000,0.0010
Fort Myers,Florida,0.0001,0.0005,0.0003,0.0001,0.0001,0.0000,0.0000,0.0010
